0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-40,31190,33508,699,12,0
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,20,26846,33723,100,0,74
3,Siam City Insurance,13.760205,100.56675,-10,21694,25193,689,9,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,20,24141,27737,296,0,35
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,20,30688,35930,302,0,11
6,Sis Distribution Thailand PCL,13.761259,100.565804,30,22667,27196,570,0,57
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,20,34057,37383,831,0,19
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,-30,44742,46139,601,24,0
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,10,7586,13319,179,0,3
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,40,4773,7467,633,0,67
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-20,40930,46870,226,5,0
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,40,22744,25248,721,0,1
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,10,26465,33226,719,0,28
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,20,30810,36426,655,0,62
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-10,30712,33555,389,54,0
16,Promise Company Ltd Thailand,13.768903,100.571635,40,20451,22801,34,0,33
17,Alaina,13.77214,100.573009,-10,23916,30141,824,20,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,40,19565,22028,202,0,23
19,The Emerald Hotel Bangkok,13.77535,100.572713,-20,41332,43816,289,7,0
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,10,13468,16275,664,0,17
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,20,7269,12083,297,0,44
