0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-10,24594,26637,363,0,65
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-30,32747,39356,644,0,48
3,Siam City Insurance,13.760205,100.56675,10,18765,19982,607,67,0
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,40,1106,7337,195,0,25
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-10,35801,39486,681,47,0
6,Sis Distribution Thailand PCL,13.761259,100.565804,-30,27828,30289,594,0,15
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,-40,11251,16763,816,73,0
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,10,5354,11400,4,0,51
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,20,24819,31874,749,0,61
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-10,31104,35398,875,0,35
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-40,26310,29688,179,42,0
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-20,14614,18394,174,0,22
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,-10,30046,36313,879,80,0
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-30,35701,38424,471,33,0
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-30,36189,37889,563,6,0
16,Promise Company Ltd Thailand,13.768903,100.571635,-20,37826,43168,527,0,21
17,Alaina,13.77214,100.573009,10,28503,31799,826,44,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,10,3984,6904,252,37,0
19,The Emerald Hotel Bangkok,13.77535,100.572713,-20,22784,28199,300,0,41
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,10,12102,14182,380,78,0
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,20,31900,34654,654,16,0
22,LDS Sermsrap Building,13.780011,100.573355,-20,14905,18581,713,12,0
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-40,35124,42307,682,0,27
24,Poseidon Entertainment Complex,13.785378,100.573671,20,1933,5618,495,72,0
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,40,22277,25298,35,4,0
26,Centric Ratchada-Suthisan,13.789918,100.573567,-30,9349,14997,444,0,55
27,Sutthisan Police Station,13.791643,100.574056,-20,24803,31559,140,23,0
28,Olympia Thai Company Limited,13.800055,100.575025,10,20804,27179,546,40,0
29,Bangkok North Municipal Court,13.811318,100.574536,10,25582,32388,81,0,36
30,The Court of Appeals,13.812652,100.574784,-40,21397,24423,669,62,0
31,Department of Trade,13.81233,100.575661,-20,21494,24085,301,0,45
32,Civil Court (Ratchada),13.81406,100.574777,-10,19469,25998,556,0,56
33,Phahon Yothin Police Station,13.8258,100.569827,30,27513,29141,725,0,14
34,Chevron Thailand Exploration and Production LTD.,13.827067,100.566183,-30,20702,24962,93,59,0
35,Siam Commercial Bank Park (SCB. Park Plaza),13.828175,100.564984,-10,41158,42491,688,10,0
36,Supalai Park Ratchayothin,13.830544,100.561589,40,30138,34291,273,29,0
37,Super ratchayothin Company Limited,13.830145,100.561103,10,22428,28777,707,0,18
38,NakhonChaiAir Bus Station,13.828089,100.552213,-20,16269,23332,278,74,0
39,Central Plaza Ladprao,13.816406,100.560817,40,15382,21321,530,0,64
40,Union Mall,13.812724,100.562365,20,8473,13259,580,0,28
41,Thai Airways International Public Company Limited,13.804657,100.561158,-10,43189,49136,135,19,0
42,Thairath Newspaper,13.804779,100.558903,-40,32671,36317,667,0,11
43,Bangkok Airways,13.806217,100.559521,-10,31506,32883,635,0,58
44,Spring News Corporation Limited,13.806963,100.559399,-30,19120,20597,231,0,17
45,"Fuji Xerox (Thailand) Co.,Ltd",13.808399,100.558816,-40,20144,26505,715,31,0
46,TMB Bank Pulic Company Limited,13.808306,100.557804,-40,38400,40260,702,0,60
47,THE LINE Jatujak-Morchit,13.80621,100.556202,20,15062,18282,632,0,5
48,"Bangkok Broadcasting & TV Co.,Ltd",13.803138,100.556413,30,14855,21050,683,2,0
49,Transport Chatuchak,13.798673,100.553211,30,415,5318,564,53,0
50,Wannasorn,13.758205,100.534962,-10,35833,40562,55,68,0
51,The Ministry of Foreign Affairs,13.762863,100.525626,10,26183,28744,492,8,0
52,The Department of Highways,13.761772,100.524523,20,12080,15399,450,0,69
53,Royal Thai Police,13.744256,100.537408,40,12113,14687,354,0,49
54,Siamkit Building,13.743937,100.534893,10,30746,33705,892,63,0
55,Siam Center,13.746298,100.532809,20,17157,22862,299,26,0
56,King Chulalongkorn Memorial Hospital,13.730903,100.53558,30,20347,24983,777,32,0
57,Chamchuri Square,13.73305,100.529675,-20,40944,44041,151,0,70
58,Ministry of Defence,13.751768,100.494593,10,20235,21459,531,43,0
59,Ministry of Interior,13.75068,100.496686,30,26318,29649,212,0,34
60,Territorial Defence Command,13.747122,100.495222,-10,39150,44063,590,46,0
61,Ministry of Finance,13.781515,100.535717,30,7551,11942,478,9,0
62,Central Jucenile and Family Court,13.79872,100.540997,20,6861,11368,190,0,30
63,Emirates Office,13.743879,100.562742,20,25767,30217,458,0,54
64,"G.M.M. Media Public Co.,Ltd.",13.743534,100.562553,20,3185,7559,541,39,0
65,Ocean Life Insurance,13.742856,100.562025,40,29026,30260,183,1,0
66,Sheraton Grande Sukhumvit,13.737581,100.559036,30,17825,19433,179,0,77
67,JW Marriott Hotel Bangkok,13.741878,100.551934,-20,30076,33800,591,0,3
68,Mitr Phol Sugar Corporation Lid.,13.741389,100.552351,-10,34473,36937,490,0,50
69,The Okura Prestige Bangkok,13.742633,100.547877,-40,40876,45043,423,52,0
70,Queen Sirikit National Convention Center,13.724092,100.55881,-20,36366,38378,887,57,0
71,FYI Center,13.720459,100.559697,10,30030,35976,571,76,0
72,The Thai life Assurance Association,13.723134,100.548262,-30,11460,17407,337,0,24
73,SO Sofitel Bangkok,13.726081,100.543368,40,26053,28437,581,0,7
74,Hewlett-Packard (Thailand) Ltd.,13.727372,100.540598,10,20459,25850,694,0,38
75,Reuters Software (Thailand) Ltd.,13.727269,100.540842,30,12654,15258,581,79,0
76,CP All Public Co.Ltd,13.727432,100.532824,40,10562,15808,556,0,71
77,"The Nielsen Company (Thailand) Co.,LTD",13.726928,100.531413,-10,37243,44211,338,66,0
78,Srilankan Airlines,13.726982,100.52845,-10,13307,17990,717,0,20
79,AIS Tower1,13.783466,100.546388,-30,27278,31997,302,0,75
80,"IBM Solutions Delivery Co.,Ltd.",13.781012,100.545744,30,209,4828,840,0,13
