0,place,lat,long,DEMAND,EARLIEST PICKUP/DELIVERY TIME,LATEST PICKUP/DELIVERY TIME,SERVICE TIME,PICKUP(index to sibling),DELIVERY(index to sibling)
1,S.E.C. Group Company Limited,13.758408,100.5649,-30,42712,48546,204,0,53
2,"ThaiGerTec Co.,Ltd.",13.759992,100.566858,-10,12910,19946,80,51,0
3,Siam City Insurance,13.760205,100.56675,20,26409,31872,156,0,11
4,"Transcosmos (Thailand) Co.,Ltd.",13.760917,100.5661,30,26146,28494,900,0,56
5,"Janssen-Cilag Co.,Ltd.",13.76118,100.565752,-40,8208,13330,107,0,66
6,Sis Distribution Thailand PCL,13.761259,100.565804,-10,23901,29730,775,0,79
7,Bridgestone ACT (Thailand) Company Limited,13.761241,100.566079,-30,33162,37752,408,0,65
8,Johnson & Johnson Vision Care (Thailand),13.761275,100.566206,30,7944,9148,485,0,64
9,"Wiko Thailand Co.,Ltd.",13.761339,100.566094,10,20465,25473,389,0,58
10,"Settrade Dot Com Co.,Ltd.",13.76386,100.567793,-20,40777,44845,833,0,67
11,"Inspur (thailand) Co.,Ltd.",13.764311,100.568371,-40,27218,34339,213,3,0
12,"Airpay (thailand) Co.,Ltd.",13.764485,100.568251,-40,29978,33406,783,0,42
13,"Nas Trading (Thailand) Co.,Ltd.",13.76486,100.568303,10,8022,13216,829,75,0
14,"Thai San Miguel Liquor Co.,Ltd.",13.76688,100.570499,-40,20832,22297,454,68,0
15,"Thai Health Insurance Co.,Ltd",13.767422,100.570531,-20,18720,21819,774,0,55
16,Promise Company Ltd Thailand,13.768903,100.571635,30,1632,5078,176,71,0
17,Alaina,13.77214,100.573009,30,21836,23515,348,41,0
18,"Synergysoft Solution Co.,Ltd.",13.772767,100.572677,-30,36919,41042,828,0,72
19,The Emerald Hotel Bangkok,13.77535,100.572713,-20,25849,31913,644,0,48
20,"Emmanuelle Entertainment Co.,Ltd.",13.776784,100.572947,30,31057,37310,678,27,0
21,Swissotel Le Concorde Bangkok,13.776287,100.574007,30,25295,32062,56,0,28
22,LDS Sermsrap Building,13.780011,100.573355,-30,27171,32688,90,73,0
23,"Mitsubishi (Nanyang Motor (1998) Co.,Ltd.)",13.784776,100.573489,-40,29392,32338,4,59,0
24,Poseidon Entertainment Complex,13.785378,100.573671,30,13921,20310,514,43,0
25,"Muang Thai Insurance Co.,Ltd.",13.785774,100.574266,40,18861,22063,49,69,0
26,Centric Ratchada-Suthisan,13.789918,100.573567,-40,26245,30752,59,0,49
27,Sutthisan Police Station,13.791643,100.574056,-10,22050,24487,221,0,20
28,Olympia Thai Company Limited,13.800055,100.575025,40,66,2776,689,21,0
29,Bangkok North Municipal Court,13.811318,100.574536,30,4971,11129,43,0,62
30,The Court of Appeals,13.812652,100.574784,-30,34187,39167,125,78,0
31,Department of Trade,13.81233,100.575661,-10,37380,41547,237,0,34
32,Civil Court (Ratchada),13.81406,100.574777,-30,14745,20889,717,0,52
33,Phahon Yothin Police Station,13.8258,100.569827,20,2168,9122,311,63,0
34,Chevron Thailand Exploration and Production LTD.,13.827067,100.566183,-40,28097,33718,779,0,75
35,Siam Commercial Bank Park (SCB. Park Plaza),13.828175,100.564984,-30,19546,23625,884,0,76
36,Supalai Park Ratchayothin,13.830544,100.561589,20,15175,17590,492,37,0
37,Super ratchayothin Company Limited,13.830145,100.561103,30,9226,16158,478,0,36
38,NakhonChaiAir Bus Station,13.828089,100.552213,-40,21712,28316,89,39,0
39,Central Plaza Ladprao,13.816406,100.560817,40,14986,16639,308,0,38
40,Union Mall,13.812724,100.562365,-10,14303,15774,549,0,70
41,Thai Airways International Public Company Limited,13.804657,100.561158,-10,19838,26945,305,0,71
42,Thairath Newspaper,13.804779,100.558903,-40,34585,37923,95,12,0
43,Bangkok Airways,13.806217,100.559521,-30,15660,18384,527,0,24
44,Spring News Corporation Limited,13.806963,100.559399,-10,31227,34661,595,77,0
45,"Fuji Xerox (Thailand) Co.,Ltd",13.808399,100.558816,-40,31712,35948,254,0,57
46,TMB Bank Pulic Company Limited,13.808306,100.557804,-10,22832,24736,822,47,0
47,THE LINE Jatujak-Morchit,13.80621,100.556202,20,14013,16601,352,0,46
48,"Bangkok Broadcasting & TV Co.,Ltd",13.803138,100.556413,40,25568,26780,32,19,0
49,Transport Chatuchak,13.798673,100.553211,30,2527,4082,672,26,0
50,Wannasorn,13.758205,100.534962,-20,39468,43626,138,0,60
51,The Ministry of Foreign Affairs,13.762863,100.525626,10,2135,8038,44,0,2
52,The Department of Highways,13.761772,100.524523,10,9797,12270,496,32,0
53,Royal Thai Police,13.744256,100.537408,30,12824,17120,488,1,0
54,Siamkit Building,13.743937,100.534893,30,27151,32373,630,74,0
55,Siam Center,13.746298,100.532809,10,7242,12489,181,15,0
56,King Chulalongkorn Memorial Hospital,13.730903,100.53558,10,6379,9231,159,4,0
57,Chamchuri Square,13.73305,100.529675,40,24256,26659,729,45,0
58,Ministry of Defence,13.751768,100.494593,10,5359,12064,687,9,0
59,Ministry of Interior,13.75068,100.496686,40,9523,16366,729,0,23
60,Territorial Defence Command,13.747122,100.495222,20,31527,32841,544,50,0
61,Ministry of Finance,13.781515,100.535717,10,21302,25503,206,80,0
62,Central Jucenile and Family Court,13.79872,100.540997,40,13721,17812,2,29,0
63,Emirates Office,13.743879,100.562742,20,11549,15722,26,0,33
