,PTT,Siam Cement,Airports of Thailand,Advanced Info Service,The Siam Commercial Bank,Kasikornbank,CP All,Bangkok Dusit Medical Services,Bangkok Bank,Krung Thai Bank,PTT Exploration and Production,PTT Global Chemical,Central Pattana,Intouch Holdings,True Corporation,Minor International,Bumrungrad International Hospital,Charoen Pokphand Foods,Thai Oil,Land and Houses,BTS Group Holdings,Glow Energy,TMB Bank,Indorama Ventures,Delta Electronics (Thailand),Bangkok Life Assurance,Home Product Center,IRPC,Thai Union Group,EGCO,Siam City Cement,Total Access Communication,Tipco Asphalt,BEC World,Central Plaza Hotel,Pruksa Real Estate,MK Restaurant Group,CH. Karnchang,Srisawad Power 1979,Bangkok Airways,Robinson Department Store,Thanachart Capital,Bangchak Petroleum,TPI Polene,Thai Tap Water Supply,Banpu,WHA Corporation,Italian Thai Development,Carabao Group,Jasmine International
PTT,0,23627,24215,21870,15666,32409,26313,15303,28710,0,15975,23711,25408,23824,14667,19718,19550,25733,30972,24991,23929,27563,13300,15658,,,,,,,,,,,,,,,,,,,,,,,,,,
Siam Cement,26832,0,32593,3551,7041,19715,11839,13041,15126,0,6818,6346,10997,6458,11065,16924,10524,11322,17538,12385,5715,13152,31782,13396,,,,,,,,,,,,,,,,,,,,,,,,,,
Airports of Thailand,24546,31279,0,29522,35422,39191,31293,20832,36362,0,33682,31364,33060,31476,24620,29912,27202,33385,37753,29971,31581,35215,15404,21187,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Info Service,22817,3759,28578,0,10505,18498,10600,9026,12842,0,8769,6446,9539,6559,6748,12909,6509,9864,17060,9278,6663,11694,27767,9381,,,,,,,,,,,,,,,,,,,,,,,,,,
The Siam Commercial Bank,18381,5612,37722,10191,0,24844,19548,18170,14388,0,6131,11132,14970,11245,13220,21857,15456,16451,22667,18225,7411,18281,27376,18525,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasikornbank,36217,20272,41987,19365,26228,0,14276,22325,12815,0,24489,22170,12270,22282,20460,15184,16518,11037,12406,12953,22387,11627,41176,22680,,,,,,,,,,,,,,,,,,,,,,,,,,
CP All,27296,12368,33057,11461,17298,10616,0,14948,10177,0,15558,13239,7452,13352,11529,7807,7588,1514,9772,2156,13457,2068,32246,15303,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok Dusit Medical Services,16121,11422,21930,9665,15564,17408,7837,0,16505,0,13825,11506,13203,11619,4986,4513,4218,13527,15971,8188,11723,10704,13072,473,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok Bank,31053,11632,36814,12266,15723,12458,12450,17262,0,0,16294,18907,4750,19019,15286,20865,11401,10894,13456,12909,17573,11740,36003,17617,,,,,,,,,,,,,,,,,,,,,,,,,,
Krung Thai Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT Exploration and Production,20467,7466,34622,10074,3739,21744,13868,15070,16240,0,0,10014,13026,10127,13094,18953,12553,13351,19566,14414,4761,15181,33811,15425,,,,,,,,,,,,,,,,,,,,,,,,,,
PTT Global Chemical,26404,5577,32165,3763,7203,21097,13199,13164,15378,0,5465,0,12075,113,9495,15508,9108,12400,19659,11877,982,14230,31354,13519,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Pattana,27934,10055,33695,9148,16001,17241,7338,14144,4156,0,14794,15788,0,15900,12168,18027,8283,8848,15063,7884,16005,10678,32884,14499,,,,,,,,,,,,,,,,,,,,,,,,,,
Intouch Holdings,26343,5516,32104,3702,7142,21036,13138,13103,15317,0,5404,3076,12014,0,9434,15447,9047,12339,19598,11816,921,14169,31293,13458,,,,,,,,,,,,,,,,,,,,,,,,,,
True Corporation,18308,10461,24069,8704,14604,18373,10475,4937,15544,0,12864,10545,12242,10658,0,12784,3255,12567,16935,9153,10763,14397,15210,5292,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor International,20932,16958,27242,13877,19777,13921,7824,3886,22041,0,18037,15719,18739,15831,12600,0,10067,9339,12483,6502,15936,9018,26431,3932,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumrungrad International Hospital,22914,10097,28675,7016,12916,15312,4114,6797,15180,0,11176,8857,11878,8970,7147,6972,0,12203,12065,3198,9075,5714,27864,7152,,,,,,,,,,,,,,,,,,,,,,,,,,
Charoen Pokphand Foods,28978,11099,34739,10192,17946,9126,2814,19379,8686,0,16345,14026,8141,14139,13212,12238,8375,0,6948,3273,14244,2104,33928,19734,,,,,,,,,,,,,,,,,,,,,,,,,,
Thai Oil,33302,15422,39063,14515,22269,9402,7487,19235,11826,0,20161,19079,11111,19192,17535,12093,13427,6188,0,9862,19296,6778,38252,19590,,,,,,,,,,,,,,,,,,,,,,,,,,
Land and Houses,26449,13633,32210,10552,16451,11063,1607,14101,10624,0,14712,12393,10079,12505,10683,6960,6741,3180,10219,0,12610,2516,31399,14456,,,,,,,,,,,,,,,,,,,,,,,,,,
BTS Group Holdings,20924,5699,32286,3884,4198,21218,13320,13285,15499,0,2449,121,12197,234,8210,15629,9229,12521,19780,11998,0,14351,31475,13640,,,,,,,,,,,,,,,,,,,,,,,,,,
Glow Energy,32693,13524,37164,12617,22704,8547,3369,18801,8108,0,20964,18645,7563,18758,15637,11660,12994,2090,6370,3828,18863,0,36353,19156,,,,,,,,,,,,,,,,,,,,,,,,,,
TMB Bank,13373,21256,16760,19499,25399,29168,21270,10823,26339,0,23659,21340,23037,21453,14597,16151,17179,23362,27730,19948,21558,25192,0,11178,,,,,,,,,,,,,,,,,,,,,,,,,,
Indorama Ventures,17195,15969,23156,11739,17639,16660,10564,2470,21052,0,15899,13581,17750,13693,7873,4158,6571,18075,15222,9241,13798,11757,14297,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta Electronics (Thailand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok Life Assurance,,,,,,,,,,,,,,,,,,,,,,,,,,0,4301,14247,8225,20832,5353,6297,8552,5059,14589,8200,20239,6485,23354,36571,6399,4002,11867,3712,36377,6908,18394,19692,1653,5730
