,pickup,delivery,distance_between_nodes,distance_from_depot_to_pickup,distance_from_delivery_to_depot
0,2,41,6983,1941,7214
1,5,15,2795,1122,2085
2,6,70,4841,1112,5901
3,7,16,2137,729,1820
4,8,3,709,740,381
5,12,74,10023,1146,11048
6,13,50,4779,1306,5645
7,17,51,7231,2191,7211
8,18,80,7574,2307,7438
9,19,68,9144,2579,8737
10,22,14,1552,3067,2073
11,23,39,5419,3630,8439
12,25,35,6983,4568,10437
13,26,9,3475,4215,1432
14,28,52,11226,6124,7274
15,29,45,3936,4503,1531
16,30,46,6224,4464,722
17,37,10,9118,9492,1798
18,38,36,8223,3677,4878
19,40,32,3699,2766,3696
20,42,4,6706,9502,1471
21,43,49,2123,2902,995
22,44,20,4879,9645,2834
23,47,78,13975,10736,11838
24,48,61,7084,9603,8318
25,53,73,3046,527,3035
26,54,62,8229,7381,10244
27,56,31,15691,9626,6412
28,57,69,4445,1926,2319
29,58,72,8533,5764,3709
30,59,33,16024,11181,8395
31,60,65,12008,12265,3526
32,64,24,5922,1568,4354
33,66,1,2925,2668,2347
34,67,21,5382,2986,2396
35,71,34,14435,8140,10624
36,75,27,12727,8764,6787
37,76,55,2914,2664,250
38,77,11,10935,9909,1025
39,79,63,7813,7949,3647
,,,,,
,,,,,
mean,,,7046.675,4934.625,4857.15
sd,,,3988.018217,3553.073662,3407.787188
